Day,Date,Page_Loads,Unique_Visits,First_Time_Visits,Returning_Visits
Thursday,1/11/2018,3797,2704,2203,501
Friday,1/12/2018,3190,2127,1692,435
Saturday,1/13/2018,1998,1373,1128,245
Sunday,1/14/2018,2515,1711,1393,318
Monday,1/15/2018,3950,2612,2065,547
Tuesday,1/16/2018,4033,2631,2133,498
Wednesday,1/17/2018,4269,2812,2285,527
Thursday,1/18/2018,4124,2677,2157,520
Friday,1/19/2018,3228,2198,1763,435
Saturday,1/20/2018,2287,1423,1160,263
Sunday,1/21/2018,2946,1996,1628,368
Monday,1/22/2018,4608,3035,2534,501
Tuesday,1/23/2018,4786,3154,2566,588
Wednesday,1/24/2018,4724,3244,2680,564
Thursday,1/25/2018,4417,2875,2348,527
Friday,1/26/2018,3580,2314,1825,489
Saturday,1/27/2018,2345,1544,1229,315
Sunday,1/28/2018,3170,2140,1776,364
Monday,1/29/2018,4862,3194,2573,621
Tuesday,1/30/2018,4600,3106,2504,602
Wednesday,1/31/2018,4705,3249,2704,545
Thursday,2/1/2018,4723,3164,2571,593
Friday,2/2/2018,3969,2572,2104,468
Saturday,2/3/2018,2994,2034,1702,332
Sunday,2/4/2018,3162,2186,1811,375
Monday,2/5/2018,4949,3287,2735,552
Tuesday,2/6/2018,5092,3465,2838,627
Wednesday,2/7/2018,4767,3319,2729,590
Thursday,2/8/2018,4625,3179,2603,576
Friday,2/9/2018,3738,2477,2015,462
Saturday,2/10/2018,2739,1793,1477,316
Sunday,2/11/2018,3923,2476,2077,399
Monday,2/12/2018,5341,3687,3045,642
Tuesday,2/13/2018,5114,3460,2836,624
Wednesday,2/14/2018,4896,3214,2568,646
Thursday,2/15/2018,4502,3050,2507,543
Friday,2/16/2018,3729,2518,2012,506
Saturday,2/17/2018,2388,1618,1319,299
Sunday,2/18/2018,3405,2314,1928,386
Monday,2/19/2018,5176,3620,2971,649
Tuesday,2/20/2018,5429,3597,2978,619
Wednesday,2/21/2018,5120,3448,2869,579
Thursday,2/22/2018,4993,3379,2774,605
Friday,2/23/2018,4148,2751,2221,530
Saturday,2/24/2018,2763,1981,1648,333
Sunday,2/25/2018,3599,2446,2011,435
Monday,2/26/2018,5542,3728,3052,676
Tuesday,2/27/2018,5378,3764,3123,641
Wednesday,2/28/2018,5536,3734,3095,639
Thursday,3/1/2018,4984,3315,2713,602
Friday,3/2/2018,4130,2754,2231,523
Saturday,3/3/2018,2818,1922,1579,343
Sunday,3/4/2018,3978,2699,2249,450
Monday,3/5/2018,5502,3727,3019,708
Tuesday,3/6/2018,5740,3842,3160,682
Wednesday,3/7/2018,5635,3734,3037,697
Thursday,3/8/2018,5375,3704,3044,660
Friday,3/9/2018,4273,3038,2490,548
Saturday,3/10/2018,3223,2305,1918,387
Sunday,3/11/2018,3956,2727,2288,439
Monday,3/12/2018,5895,4141,3447,694
Tuesday,3/13/2018,6152,4207,3398,809
Wednesday,3/14/2018,5906,4021,3305,716
Thursday,3/15/2018,6300,4061,3279,782
Friday,3/16/2018,4915,3259,2673,586
Saturday,3/17/2018,3218,2161,1818,343
Sunday,3/18/2018,4429,2919,2435,484
Monday,3/19/2018,5739,4038,3316,722
Tuesday,3/20/2018,6220,4292,3553,739
Wednesday,3/21/2018,6238,4163,3396,767
Thursday,3/22/2018,6226,4251,3595,656
Friday,3/23/2018,4364,2994,2457,537
Saturday,3/24/2018,2882,2021,1682,339
Sunday,3/25/2018,4010,2748,2263,485
Monday,3/26/2018,6084,3995,3289,706
Tuesday,3/27/2018,5874,4147,3446,701
Wednesday,3/28/2018,5719,3917,3288,629
Thursday,3/29/2018,5003,3396,2812,584
Friday,3/30/2018,3605,2541,2062,479
Saturday,3/31/2018,2811,1901,1512,389
Sunday,4/1/2018,3567,2438,1956,482
Monday,4/2/2018,5237,3542,2875,667
Tuesday,4/3/2018,6154,4126,3438,688
Wednesday,4/4/2018,5895,4112,3418,694
Thursday,4/5/2018,5858,3943,3232,711
Friday,4/6/2018,5034,3348,2749,599
Saturday,4/7/2018,3613,2291,1840,451
Sunday,4/8/2018,4389,3059,2530,529
Monday,4/9/2018,6278,4290,3546,744
Tuesday,4/10/2018,6836,4514,3747,767
Wednesday,4/11/2018,6731,4596,3759,837
Thursday,4/12/2018,6287,4332,3563,769
Friday,4/13/2018,5089,3454,2850,604
Saturday,4/14/2018,3812,2542,2094,448
Sunday,4/15/2018,5290,3538,2914,624
Monday,4/16/2018,7161,4993,4188,805
Tuesday,4/17/2018,7352,4939,4058,881
Wednesday,4/18/2018,7218,4842,4001,841
Thursday,4/19/2018,7040,4672,3895,777
Friday,4/20/2018,5367,3728,3029,699
Saturday,4/21/2018,4021,2749,2253,496
Sunday,4/22/2018,5397,3722,3059,663
Monday,4/23/2018,7605,5124,4216,908
Tuesday,4/24/2018,7614,5094,4181,913
Wednesday,4/25/2018,7984,5541,4616,925
Thursday,4/26/2018,7040,4823,3957,866
Friday,4/27/2018,5628,3749,3095,654
Saturday,4/28/2018,3926,2618,2141,477
Sunday,4/29/2018,5479,3635,3057,578
Monday,4/30/2018,6670,4584,3784,800
Tuesday,5/1/2018,6783,4542,3742,800
Wednesday,5/2/2018,7105,4865,4013,852
Thursday,5/3/2018,6877,4702,3854,848
Friday,5/4/2018,5460,3711,3039,672
Saturday,5/5/2018,3648,2568,2058,510
Sunday,5/6/2018,4917,3311,2737,574
Monday,5/7/2018,6980,4654,3881,773
Tuesday,5/8/2018,6702,4577,3700,877
Wednesday,5/9/2018,6699,4488,3581,907
Thursday,5/10/2018,6001,4059,3265,794
Friday,5/11/2018,5094,3454,2766,688
Saturday,5/12/2018,3179,2237,1821,416
Sunday,5/13/2018,4169,2912,2413,499
Monday,5/14/2018,6392,4388,3637,751
Tuesday,5/15/2018,5878,4094,3384,710
Wednesday,5/16/2018,5800,3976,3266,710
Thursday,5/17/2018,5690,4023,3254,769
Friday,5/18/2018,4314,2986,2400,586
Saturday,5/19/2018,2948,2117,1735,382
Sunday,5/20/2018,3864,2674,2155,519
Monday,5/21/2018,5499,3708,3005,703
Tuesday,5/22/2018,5790,4040,3269,771
Wednesday,5/23/2018,5720,3971,3206,765
Thursday,5/24/2018,5692,3675,2965,710
Friday,5/25/2018,4082,2803,2188,615
Saturday,5/26/2018,2716,1965,1597,368
Sunday,5/27/2018,3430,2374,1887,487
Monday,5/28/2018,4353,2994,2392,602
Tuesday,5/29/2018,5525,3777,3112,665
Wednesday,5/30/2018,5407,3574,2908,666
Thursday,5/31/2018,4994,3485,2792,693
Friday,6/1/2018,3835,2681,2172,509
Saturday,6/2/2018,2511,1750,1423,327
Sunday,6/3/2018,3371,2308,1891,417
Monday,6/4/2018,5226,3399,2741,658
Tuesday,6/5/2018,5139,3453,2811,642
Wednesday,6/6/2018,5051,3474,2828,646
Thursday,6/7/2018,4787,3283,2685,598
Friday,6/8/2018,3956,2670,2107,563
Saturday,6/9/2018,2303,1589,1278,311
Sunday,6/10/2018,3011,2091,1717,374
Monday,6/11/2018,4896,3326,2714,612
Tuesday,6/12/2018,4952,3309,2624,685
Wednesday,6/13/2018,4570,3099,2439,660
Thursday,6/14/2018,4542,2962,2377,585
Friday,6/15/2018,3383,2320,1847,473
Saturday,6/16/2018,1922,1316,1061,255
Sunday,6/17/2018,2404,1677,1361,316
Monday,6/18/2018,4576,2964,2313,651
Tuesday,6/19/2018,4727,3144,2519,625
Wednesday,6/20/2018,4639,2989,2370,619
Thursday,6/21/2018,4108,2762,2154,608
Friday,6/22/2018,3372,2207,1744,463
Saturday,6/23/2018,1996,1277,989,288
Sunday,6/24/2018,2415,1619,1266,353
Monday,6/25/2018,4457,2881,2272,609
Tuesday,6/26/2018,4736,3039,2410,629
Wednesday,6/27/2018,4245,2818,2244,574
Thursday,6/28/2018,4081,2785,2160,625
Friday,6/29/2018,3053,2008,1568,440
Saturday,6/30/2018,1741,1147,927,220
Sunday,7/1/2018,2186,1447,1140,307
Monday,7/2/2018,4026,2533,1952,581
Tuesday,7/3/2018,3961,2515,1966,549
Wednesday,7/4/2018,3019,2032,1595,437
Thursday,7/5/2018,3743,2496,1997,499
Friday,7/6/2018,3050,1995,1575,420
Saturday,7/7/2018,1688,1080,857,223
Sunday,7/8/2018,2185,1440,1145,295
Monday,7/9/2018,4104,2576,2016,560
Tuesday,7/10/2018,4097,2694,2059,635
Wednesday,7/11/2018,3844,2506,1895,611
Thursday,7/12/2018,3743,2530,2001,529
Friday,7/13/2018,3073,2068,1581,487
Saturday,7/14/2018,1852,1249,992,257
Sunday,7/15/2018,2105,1474,1173,301
Monday,7/16/2018,4078,2657,2095,562
Tuesday,7/17/2018,4515,2856,2255,601
Wednesday,7/18/2018,4276,2779,2173,606
Thursday,7/19/2018,4043,2705,2114,591
Friday,7/20/2018,3004,2028,1576,452
Saturday,7/21/2018,1664,1177,942,235
Sunday,7/22/2018,2248,1561,1246,315
Monday,7/23/2018,4062,2658,2081,577
Tuesday,7/24/2018,4053,2680,2091,589
Wednesday,7/25/2018,3628,2431,1879,552
Thursday,7/26/2018,3596,2415,1925,490
Friday,7/27/2018,3140,2002,1539,463
Saturday,7/28/2018,1938,1304,1054,250
Sunday,7/29/2018,2460,1699,1364,335
Monday,7/30/2018,4175,2771,2166,605
Tuesday,7/31/2018,4113,2881,2310,571
Wednesday,8/1/2018,4273,2901,2310,591
Thursday,8/2/2018,4194,2754,2202,552
Friday,8/3/2018,3405,2345,1833,512
Saturday,8/4/2018,1800,1251,1025,226
Sunday,8/5/2018,2378,1694,1388,306
Monday,8/6/2018,4319,2856,2233,623
Tuesday,8/7/2018,4388,2971,2375,596
Wednesday,8/8/2018,4205,2724,2118,606
Thursday,8/9/2018,3973,2555,1998,557
Friday,8/10/2018,3510,2224,1777,447
Saturday,8/11/2018,1913,1281,1012,269
Sunday,8/12/2018,2397,1644,1284,360
Monday,8/13/2018,4348,2789,2224,565
Tuesday,8/14/2018,3966,2688,2127,561
Wednesday,8/15/2018,3805,2544,2035,509
Thursday,8/16/2018,3866,2604,2074,530
Friday,8/17/2018,3489,2219,1737,482
Saturday,8/18/2018,2074,1394,1108,286
Sunday,8/19/2018,2519,1687,1318,369
Monday,8/20/2018,4202,2734,2128,606
Tuesday,8/21/2018,4023,2711,2147,564
Wednesday,8/22/2018,4048,2685,2121,564
Thursday,8/23/2018,4150,2860,2249,611
Friday,8/24/2018,3154,2199,1742,457
Saturday,8/25/2018,2143,1317,1012,305
Sunday,8/26/2018,2576,1705,1372,333
Monday,8/27/2018,4317,2954,2367,587
Tuesday,8/28/2018,4421,3023,2427,596
Wednesday,8/29/2018,4563,3019,2395,624
Thursday,8/30/2018,4055,2798,2265,533
Friday,8/31/2018,3427,2305,1815,490
Saturday,9/1/2018,1731,1241,989,252
Sunday,9/2/2018,2258,1641,1293,348
Monday,9/3/2018,3655,2499,2032,467
Tuesday,9/4/2018,4456,2995,2435,560
Wednesday,9/5/2018,4566,3042,2456,586
Thursday,9/6/2018,4314,3049,2508,541
Friday,9/7/2018,3557,2349,1890,459
Saturday,9/8/2018,2281,1548,1255,293
Sunday,9/9/2018,3346,2255,1906,349
Monday,9/10/2018,4711,3200,2600,600
Tuesday,9/11/2018,4709,3134,2595,539
Wednesday,9/12/2018,4379,3032,2464,568
Thursday,9/13/2018,4357,2870,2325,545
Friday,9/14/2018,3560,2396,1907,489
Saturday,9/15/2018,2049,1488,1244,244
Sunday,9/16/2018,2813,1934,1614,320
Monday,9/17/2018,5064,3241,2621,620
Tuesday,9/18/2018,5006,3221,2595,626
Wednesday,9/19/2018,4949,3282,2708,574
Thursday,9/20/2018,4695,3165,2573,592
Friday,9/21/2018,3516,2383,1933,450
Saturday,9/22/2018,2460,1704,1374,330
Sunday,9/23/2018,2994,2127,1733,394
Monday,9/24/2018,4688,3273,2679,594
Tuesday,9/25/2018,4924,3481,2885,596
Wednesday,9/26/2018,5209,3546,2936,610
Thursday,9/27/2018,5966,4029,3385,644
Friday,9/28/2018,4740,3171,2643,528
Saturday,9/29/2018,2715,1870,1618,252
Sunday,9/30/2018,3739,2573,2194,379
Monday,10/1/2018,5841,3982,3331,651
Tuesday,10/2/2018,5881,4096,3514,582
Wednesday,10/3/2018,5540,3863,3249,614
Thursday,10/4/2018,5636,3894,3306,588
Friday,10/5/2018,4479,3120,2638,482
Saturday,10/6/2018,3076,2094,1750,344
Sunday,10/7/2018,3973,2865,2457,408
Monday,10/8/2018,6045,4310,3659,651
Tuesday,10/9/2018,6126,4173,3522,651
Wednesday,10/10/2018,6084,4319,3616,703
Thursday,10/11/2018,6154,4254,3632,622
Friday,10/12/2018,4868,3385,2784,601
Saturday,10/13/2018,3409,2379,2006,373
Sunday,10/14/2018,4722,3357,2859,498
Monday,10/15/2018,6555,4550,3766,784
Tuesday,10/16/2018,7079,4652,3893,759
Wednesday,10/17/2018,6691,4673,3893,780
Thursday,10/18/2018,6522,4398,3666,732
Friday,10/19/2018,4922,3390,2857,533
Saturday,10/20/2018,3409,2399,1990,409
Sunday,10/21/2018,4483,3092,2623,469
Monday,10/22/2018,6666,4499,3769,730
Tuesday,10/23/2018,6991,4677,3916,761
Wednesday,10/24/2018,6871,4619,3808,811
Thursday,10/25/2018,6357,4331,3579,752
Friday,10/26/2018,5114,3468,2827,641
Saturday,10/27/2018,3456,2400,2006,394
Sunday,10/28/2018,4924,3251,2735,516
Monday,10/29/2018,6837,4704,3890,814
Tuesday,10/30/2018,6481,4547,3798,749
Wednesday,10/31/2018,6296,4316,3545,771
Thursday,11/1/2018,6044,3988,3299,689
Friday,11/2/2018,4860,3326,2738,588
Saturday,11/3/2018,3430,2289,1946,343
Sunday,11/4/2018,4638,3236,2744,492
Monday,11/5/2018,6365,4329,3609,720
Tuesday,11/6/2018,6330,4291,3556,735
Wednesday,11/7/2018,5865,3937,3267,670
Thursday,11/8/2018,5692,3938,3298,640
Friday,11/9/2018,5026,3533,2917,616
Saturday,11/10/2018,3506,2428,2018,410
Sunday,11/11/2018,4778,3265,2709,556
Monday,11/12/2018,6684,4592,3795,797
Tuesday,11/13/2018,6766,4720,3918,802
Wednesday,11/14/2018,6916,4674,3872,802
Thursday,11/15/2018,6440,4379,3634,745
Friday,11/16/2018,5066,3497,2863,634
Saturday,11/17/2018,3503,2489,2043,446
Sunday,11/18/2018,4855,3321,2691,630
Monday,11/19/2018,6818,4601,3795,806
Tuesday,11/20/2018,6239,4424,3640,784
Wednesday,11/21/2018,5471,3904,3194,710
Thursday,11/22/2018,4453,3186,2592,594
Friday,11/23/2018,4062,2892,2347,545
Saturday,11/24/2018,3485,2445,1987,458
Sunday,11/25/2018,4906,3371,2815,556
Monday,11/26/2018,7099,4871,4012,859
Tuesday,11/27/2018,7503,5181,4267,914
Wednesday,11/28/2018,7554,5227,4330,897
Thursday,11/29/2018,7169,4944,4106,838
Friday,11/30/2018,5608,3895,3211,684
Saturday,12/1/2018,4055,2800,2306,494
Sunday,12/2/2018,5611,3906,3259,647
Monday,12/3/2018,7650,5378,4431,947
Tuesday,12/4/2018,7372,5225,4328,897
Wednesday,12/5/2018,7369,5166,4316,850
Thursday,12/6/2018,7250,5093,4213,880
Friday,12/7/2018,5735,4032,3296,736
Saturday,12/8/2018,4614,3240,2699,541
Sunday,12/9/2018,5979,4062,3352,710
Monday,12/10/2018,7840,5421,4465,956
Tuesday,12/11/2018,7659,5267,4330,937
Wednesday,12/12/2018,7319,4983,4010,973
Thursday,12/13/2018,6373,4452,3620,832
Friday,12/14/2018,4897,3404,2776,628
Saturday,12/15/2018,3325,2209,1833,376
Sunday,12/16/2018,3874,2671,2206,465
Monday,12/17/2018,5436,3791,3062,729
Tuesday,12/18/2018,5174,3562,2945,617
Wednesday,12/19/2018,4873,3255,2632,623
Thursday,12/20/2018,3913,2716,2164,552
Friday,12/21/2018,2934,1979,1543,436
Saturday,12/22/2018,1523,1074,846,228
Sunday,12/23/2018,1859,1223,997,226
Monday,12/24/2018,1835,1310,1019,291
Tuesday,12/25/2018,1852,1214,955,259
Wednesday,12/26/2018,2357,1594,1243,351
Thursday,12/27/2018,2583,1783,1418,365
Friday,12/28/2018,2477,1613,1279,334
Saturday,12/29/2018,1694,1197,990,207
Sunday,12/30/2018,1985,1340,1097,243
Monday,12/31/2018,1723,1159,874,285
Tuesday,1/1/2019,1715,1168,891,277
Wednesday,1/2/2019,3431,2361,1899,462
Thursday,1/3/2019,4118,2793,2259,534
Friday,1/4/2019,3504,2373,1936,437
Saturday,1/5/2019,2308,1609,1348,261
Sunday,1/6/2019,2925,2046,1648,398
Monday,1/7/2019,4587,3100,2550,550
Tuesday,1/8/2019,4731,3182,2585,597
Wednesday,1/9/2019,4831,3245,2660,585
Thursday,1/10/2019,4162,2836,2298,538
Friday,1/11/2019,3726,2476,1999,477
Saturday,1/12/2019,2458,1722,1413,309
Sunday,1/13/2019,3266,2264,1878,386
Monday,1/14/2019,5016,3348,2760,588
Tuesday,1/15/2019,4732,3320,2738,582
Wednesday,1/16/2019,4938,3447,2845,602
Thursday,1/17/2019,5033,3516,2967,549
Friday,1/18/2019,4114,2731,2236,495
Saturday,1/19/2019,2780,1929,1599,330
Sunday,1/20/2019,4205,2367,1974,393
Monday,1/21/2019,4983,3391,2783,608
Tuesday,1/22/2019,5182,3674,3052,622
Wednesday,1/23/2019,5316,3856,3199,657
Thursday,1/24/2019,5021,3462,2853,609
Friday,1/25/2019,4230,2882,2382,500
Saturday,1/26/2019,2743,1882,1541,341
Sunday,1/27/2019,3890,2622,2232,390
Monday,1/28/2019,5575,3925,3232,693
Tuesday,1/29/2019,5732,3866,3260,606
Wednesday,1/30/2019,5402,3759,3134,625
Thursday,1/31/2019,5069,3597,2984,613
Friday,2/1/2019,4222,2923,2364,559
Saturday,2/2/2019,2864,1902,1596,306
Sunday,2/3/2019,3598,2447,2044,403
Monday,2/4/2019,5366,3767,3146,621
Tuesday,2/5/2019,5427,3757,3124,633
Wednesday,2/6/2019,5667,3759,3130,629
Thursday,2/7/2019,5517,3763,3069,694
Friday,2/8/2019,4420,2943,2429,514
Saturday,2/9/2019,3150,2274,1911,363
Sunday,2/10/2019,4264,2962,2470,492
Monday,2/11/2019,6569,4276,3566,710
Tuesday,2/12/2019,6145,4092,3391,701
Wednesday,2/13/2019,5743,3932,3236,696
Thursday,2/14/2019,5512,3762,3075,687
Friday,2/15/2019,4127,2952,2377,575
Saturday,2/16/2019,3309,2195,1809,386
Sunday,2/17/2019,3761,2669,2217,452
Monday,2/18/2019,5592,3912,3226,686
Tuesday,2/19/2019,6100,4322,3575,747
Wednesday,2/20/2019,6208,4265,3543,722
Thursday,2/21/2019,5730,4071,3352,719
Friday,2/22/2019,4372,3073,2508,565
Saturday,2/23/2019,3378,2259,1871,388
Sunday,2/24/2019,4367,3012,2524,488
Monday,2/25/2019,6318,4424,3678,746
Tuesday,2/26/2019,6431,4304,3530,774
Wednesday,2/27/2019,5919,4205,3442,763
Thursday,2/28/2019,5668,3966,3266,700
Friday,3/1/2019,4581,3178,2594,584
Saturday,3/2/2019,3383,2263,1878,385
Sunday,3/3/2019,4311,3005,2476,529
Monday,3/4/2019,6357,4214,3443,771
Tuesday,3/5/2019,6092,4092,3343,749
Wednesday,3/6/2019,5772,4070,3340,730
Thursday,3/7/2019,5861,4064,3330,734
Friday,3/8/2019,4600,3147,2590,557
Saturday,3/9/2019,3390,2218,1849,369
Sunday,3/10/2019,4099,2898,2397,501
Monday,3/11/2019,6240,4320,3599,721
Tuesday,3/12/2019,5871,4127,3375,752
Wednesday,3/13/2019,6381,4506,3726,780
Thursday,3/14/2019,5853,4043,3328,715
Friday,3/15/2019,4425,3116,2499,617
Saturday,3/16/2019,2961,2099,1685,414
Sunday,3/17/2019,4008,2744,2258,486
Monday,3/18/2019,5830,4040,3319,721
Tuesday,3/19/2019,6089,4164,3448,716
Wednesday,3/20/2019,5800,3946,3192,754
Thursday,3/21/2019,5431,3761,3100,661
Friday,3/22/2019,4560,3071,2543,528
Saturday,3/23/2019,3256,2254,1859,395
Sunday,3/24/2019,4156,2858,2386,472
Monday,3/25/2019,6060,4232,3469,763
Tuesday,3/26/2019,6191,4344,3578,766
Wednesday,3/27/2019,6678,4612,3842,770
Thursday,3/28/2019,6167,4086,3361,725
Friday,3/29/2019,4441,3147,2601,546
Saturday,3/30/2019,3243,2325,1949,376
Sunday,3/31/2019,4260,3039,2543,496
Monday,4/1/2019,6078,4238,3550,688
Tuesday,4/2/2019,6824,4656,3833,823
Wednesday,4/3/2019,6621,4727,3942,785
Thursday,4/4/2019,6231,4343,3647,696
Friday,4/5/2019,4776,3346,2719,627
Saturday,4/6/2019,3148,2319,1924,395
Sunday,4/7/2019,4357,3050,2511,539
Monday,4/8/2019,6794,4738,3960,778
Tuesday,4/9/2019,6688,4505,3736,769
Wednesday,4/10/2019,6570,4448,3646,802
Thursday,4/11/2019,6113,4264,3504,760
Friday,4/12/2019,4856,3336,2726,610
Saturday,4/13/2019,3401,2409,2011,398
Sunday,4/14/2019,4551,3197,2600,597
Monday,4/15/2019,6614,4773,3967,806
Tuesday,4/16/2019,7019,4837,4037,800
Wednesday,4/17/2019,6643,4470,3681,789
Thursday,4/18/2019,5398,3825,3133,692
Friday,4/19/2019,4323,2981,2482,499
Saturday,4/20/2019,3546,2442,2020,422
Sunday,4/21/2019,4312,3045,2534,511
Monday,4/22/2019,6363,4520,3729,791
Tuesday,4/23/2019,6797,4968,4147,821
Wednesday,4/24/2019,7144,5002,4136,866
Thursday,4/25/2019,6555,4621,3804,817
Friday,4/26/2019,5400,3780,3089,691
Saturday,4/27/2019,3710,2465,2038,427
Sunday,4/28/2019,4788,3294,2728,566
Monday,4/29/2019,6232,4340,3578,762
Tuesday,4/30/2019,6093,4264,3440,824
Wednesday,5/1/2019,6117,4275,3556,719
Thursday,5/2/2019,6274,4153,3433,720
Friday,5/3/2019,4774,3370,2763,607
Saturday,5/4/2019,3437,2462,1999,463
Sunday,5/5/2019,4330,3009,2457,552
Monday,5/6/2019,5902,4164,3402,762
Tuesday,5/7/2019,6064,4258,3469,789
Wednesday,5/8/2019,5709,4049,3310,739
Thursday,5/9/2019,5596,3944,3275,669
Friday,5/10/2019,4498,3144,2494,650
Saturday,5/11/2019,3258,2119,1702,417
Sunday,5/12/2019,3571,2565,2070,495
Monday,5/13/2019,5677,3908,3136,772
Tuesday,5/14/2019,5534,3669,2977,692
Wednesday,5/15/2019,5391,3667,2989,678
Thursday,5/16/2019,5043,3577,2953,624
Friday,5/17/2019,3993,2795,2254,541
Saturday,5/18/2019,2565,1876,1545,331
Sunday,5/19/2019,3369,2364,1954,410
Monday,5/20/2019,4993,3442,2806,636
Tuesday,5/21/2019,4728,3406,2813,593
Wednesday,5/22/2019,4963,3431,2772,659
Thursday,5/23/2019,4637,3243,2698,545
Friday,5/24/2019,3694,2559,2070,489
Saturday,5/25/2019,2460,1658,1347,311
Sunday,5/26/2019,3006,2064,1693,371
Monday,5/27/2019,3992,2780,2271,509
Tuesday,5/28/2019,4960,3403,2767,636
Wednesday,5/29/2019,4376,3115,2562,553
Thursday,5/30/2019,4143,2896,2353,543
Friday,5/31/2019,3359,2363,1909,454
Saturday,6/1/2019,2218,1474,1221,253
Sunday,6/2/2019,2768,1845,1516,329
Monday,6/3/2019,3967,2831,2295,536
Tuesday,6/4/2019,4501,3008,2426,582
Wednesday,6/5/2019,3973,2727,2233,494
Thursday,6/6/2019,4259,2871,2312,559
Friday,6/7/2019,3181,2313,1869,444
Saturday,6/8/2019,2170,1583,1324,259
Sunday,6/9/2019,2810,1930,1586,344
Monday,6/10/2019,4420,3030,2463,567
Tuesday,6/11/2019,4793,3258,2664,594
Wednesday,6/12/2019,4410,3064,2479,585
Thursday,6/13/2019,4076,2844,2280,564
Friday,6/14/2019,3287,2265,1789,476
Saturday,6/15/2019,2176,1467,1201,266
Sunday,6/16/2019,2516,1747,1419,328
Monday,6/17/2019,4142,2925,2398,527
Tuesday,6/18/2019,4225,3013,2461,552
Wednesday,6/19/2019,4162,2882,2351,531
Thursday,6/20/2019,3716,2615,2137,478
Friday,6/21/2019,3333,2275,1853,422
Saturday,6/22/2019,1918,1360,1118,242
Sunday,6/23/2019,2344,1621,1317,304
Monday,6/24/2019,3691,2591,2149,442
Tuesday,6/25/2019,4035,2770,2247,523
Wednesday,6/26/2019,3939,2675,2186,489
Thursday,6/27/2019,3738,2671,2197,474
Friday,6/28/2019,2846,2021,1657,364
Saturday,6/29/2019,1733,1199,983,216
Sunday,6/30/2019,2184,1494,1240,254
Monday,7/1/2019,3512,2485,2001,484
Tuesday,7/2/2019,3675,2636,2163,473
Wednesday,7/3/2019,3831,2579,2144,435
Thursday,7/4/2019,2801,1971,1648,323
Friday,7/5/2019,2552,1790,1446,344
Saturday,7/6/2019,1950,1291,1110,181
Sunday,7/7/2019,2110,1477,1209,268
Monday,7/8/2019,4303,2903,2383,520
Tuesday,7/9/2019,3883,2799,2335,464
Wednesday,7/10/2019,4244,2907,2347,560
Thursday,7/11/2019,3765,2669,2150,519
Friday,7/12/2019,3286,2276,1816,460
Saturday,7/13/2019,1851,1305,1063,242
Sunday,7/14/2019,2580,1754,1433,321
Monday,7/15/2019,4140,2911,2382,529
Tuesday,7/16/2019,4076,2785,2285,500
Wednesday,7/17/2019,4141,2900,2360,540
Thursday,7/18/2019,3898,2774,2249,525
Friday,7/19/2019,3027,2078,1641,437
Saturday,7/20/2019,1831,1271,1033,238
Sunday,7/21/2019,2282,1617,1356,261
Monday,7/22/2019,4138,2890,2376,514
Tuesday,7/23/2019,4049,2868,2344,524
Wednesday,7/24/2019,4272,2963,2359,604
Thursday,7/25/2019,4089,2755,2210,545
Friday,7/26/2019,3277,2264,1842,422
Saturday,7/27/2019,1954,1308,1069,239
Sunday,7/28/2019,2111,1509,1239,270
Monday,7/29/2019,3625,2539,2053,486
Tuesday,7/30/2019,4415,2906,2386,520
Wednesday,7/31/2019,3854,2743,2260,483
Thursday,8/1/2019,4114,2771,2262,509
Friday,8/2/2019,3492,2280,1874,406
Saturday,8/3/2019,1849,1312,1096,216
Sunday,8/4/2019,2239,1630,1347,283
Monday,8/5/2019,3976,2664,2191,473
Tuesday,8/6/2019,4061,2833,2284,549
Wednesday,8/7/2019,3702,2675,2215,460
Thursday,8/8/2019,3622,2553,2112,441
Friday,8/9/2019,3039,2033,1660,373
Saturday,8/10/2019,1848,1265,1049,216
Sunday,8/11/2019,2082,1502,1242,260
Monday,8/12/2019,3807,2574,2121,453
Tuesday,8/13/2019,3993,2667,2215,452
Wednesday,8/14/2019,3567,2517,2087,430
Thursday,8/15/2019,3484,2450,2046,404
Friday,8/16/2019,2994,2022,1663,359
Saturday,8/17/2019,1793,1276,1074,202
Sunday,8/18/2019,2422,1721,1477,244
Monday,8/19/2019,4070,2847,2371,476
Tuesday,8/20/2019,3987,2800,2293,507
Wednesday,8/21/2019,3355,2407,1963,444
Thursday,8/22/2019,2925,1959,1627,332
Friday,8/23/2019,3010,2143,1769,374
Saturday,8/24/2019,1896,1380,1151,229
Sunday,8/25/2019,2501,1791,1497,294
Monday,8/26/2019,3851,2714,2257,457
Tuesday,8/27/2019,4403,3075,2622,453
Wednesday,8/28/2019,4627,3125,2623,502
Thursday,8/29/2019,4221,2982,2477,505
Friday,8/30/2019,3025,2102,1727,375
Saturday,8/31/2019,1998,1386,1179,207
Sunday,9/1/2019,2297,1645,1414,231
Monday,9/2/2019,3192,2272,1910,362
Tuesday,9/3/2019,4087,2921,2434,487
Wednesday,9/4/2019,4787,3348,2842,506
Thursday,9/5/2019,4483,3078,2570,508
Friday,9/6/2019,3571,2483,2095,388
Saturday,9/7/2019,2263,1566,1343,223
Sunday,9/8/2019,2948,2118,1827,291
Monday,9/9/2019,4521,3287,2785,502
